"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","83","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPost","Get post",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","56","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostNotExist","Delete post not exists",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","136","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePost","Update post",""
"passed","Mon Sep 16 16:50:22 GMT 2024","Mon Sep 16 16:50:23 GMT 2024","1000","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","createPost","Create post",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","75","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getExceptionRequest","Get method that throws exception",""
"failed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:25 GMT 2024","2","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","failedTest","Failed test",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","73","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPosts","Get posts",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","67","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","updatePostNotExist","Update post not exists",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","50","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getHealth","Actuator health",""
"skipped","Mon Sep 16 16:50:25 GMT 2024","Mon Sep 16 16:50:25 GMT 2024","0","Gradle suite","Gradle test","com.github.aceton41k.api.test.UnitTests","com.github.aceton41k.api.test.UnitTests","skippedTest","Skipped test",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","41","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostUnauthorized","Unauthorized access to get post",""
"passed","Mon Sep 16 16:50:23 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","661","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePost","Delete post",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","59","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","getPostNotExist","Get post not exists",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","52","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","deletePostUnauthorized","Unauthorized access to delete post",""
"passed","Mon Sep 16 16:50:24 GMT 2024","Mon Sep 16 16:50:24 GMT 2024","82","Gradle suite","Gradle test","com.github.aceton41k.api.test.AppTests","com.github.aceton41k.api.test.AppTests","userInfo","User info",""
